dependencies	@babel/core	^7.29.0	^7.22.9
dependencies	node-polyfill-webpack-plugin	^4.1.0	4.0.0
dependencies	sass-loader	^16.0.8	^17.0.0
dependencies	webpack-cli	^7.0.2	^6.0.1
devDependencies	@babel/preset-env	^7.29.5	^7.22.9
devDependencies	postcss-html	^2.0.0	^1.0.0
devDependencies	stylelint-config-html	^2.0.0	^1.1.0
devDependencies	stylelint-config-recommended-vue	^2.0.0	^1.6.1
